,,VF,VNF
2014,Humanitariniai mokslai,"6,08","5,68"
2014,"Muzika, meno studijos ir rašytinė kūryba","7,2",–
2014,"Teatras, kinas ir šokis","8,7","8,64"
2014,Dizainas ir architektūra,"6,68","6,63"
2014,"Dailė, fotografija, medijos","6,58",–
2014,"Socialiniai mokslai be verslo, teisės, švietimo, socialinių studijų, visuomenės saugumo","5,94","5,29"
2014,Verslas ir vadyba,"5,88","5,52"
2014,Teisė,"6,66","6,22"
2014,Švietimas ir ugdymas,"5,64","5,49"
2014,Visuomenės saugumas ir socialinės studijos,"5,48","2,26"
2014,Fiziniai mokslai,"5,76","4,94"
2014,"Biologija, botanika, genetika, biofizika, biochemija","8,08","7,14"
2014,"Žemės ūkis, miškininkystė, maisto studijos","5,18","4,16"
2014,"Ikiklinikinė veterinarinė medicina, veterinarinė medicina, žemės ūkis ir veterinarija","7,7","7,16"
2014,"Medicina ir sveikata be mitybos, slaugos, visuomenės sveikatos","8,78","8,74"
2014,"Visuomenės sveikata, mityba, slauga","7,64","6,48"
2014,Sporto ir gyvybės mokslai,"5,92","5,92"
2014,Inžinerija ir maisto technologijos,"4,24","3,76"
2014,Technologijos mokslai,"4,04","3,6"
